year,5-Б,3-Б,8-А,2-Г,7-Б,1-Б,3-Г,3-А,2-В,6-Б,6-А,8-Б,8-Г,11-А,2-А,7-А,5-А,2-Б,10-А,11-Б,8-В,4-А,7-В,3-В,1-А,9-А,11-В
2000,19,15,18,29,19,17,26,29,28,30,26,27,27,22,29,19,27,20,16,18,15,27,19,29,22,20,23
2001,21,30,22,19,26,20,24,27,20,30,24,30,29,21,20,19,29,27,23,25,30,30,23,22,22,18,22
2002,19,27,27,16,30,21,29,29,17,27,29,24,24,22,19,25,15,30,16,29,25,23,18,26,18,20,28
2003,30,16,20,23,19,24,22,20,24,29,27,21,17,29,21,28,25,26,17,25,29,16,15,30,29,21,28
2004,21,17,24,21,22,18,20,28,15,19,26,24,29,22,28,17,18,18,27,29,25,21,24,22,23,19,17
2005,20,15,16,19,21,28,27,17,18,25,21,24,21,16,15,17,18,20,22,21,17,17,30,25,20,22,21
2006,25,19,21,18,25,28,27,15,17,24,24,26,18,26,29,20,22,21,16,27,19,26,23,18,24,30,24
2007,18,21,17,15,23,20,25,17,29,17,17,26,29,28,26,16,28,28,26,20,29,18,17,27,30,17,19
2008,30,27,20,15,18,23,20,25,26,19,23,27,28,22,24,15,26,27,18,20,27,21,18,25,16,24,20
2009,30,28,21,27,16,19,27,16,24,25,25,29,25,25,24,19,28,30,25,25,26,28,26,28,27,29,29
2010,22,30,18,19,15,26,24,28,20,24,23,16,21,28,25,27,20,27,20,26,18,30,28,19,16,17,21
2011,23,15,18,28,25,21,17,20,22,21,15,17,26,27,18,24,19,16,20,26,24,30,27,22,16,16,28
2012,29,16,17,27,17,18,25,27,22,20,30,26,16,16,30,17,16,20,20,29,29,18,30,22,17,21,26
2013,22,22,17,16,27,24,20,23,22,23,27,20,19,15,18,22,19,25,22,17,28,15,15,22,21,22,23
2014,22,20,25,26,21,29,15,16,19,22,26,25,17,15,27,30,18,15,28,16,17,15,17,21,17,24,27
2015,24,25,25,22,27,24,26,26,19,16,23,20,19,15,18,24,29,20,20,22,24,21,22,15,27,15,16
2016,26,20,23,21,18,16,23,22,17,23,26,17,28,28,25,25,15,24,21,24,17,20,23,19,18,22,25
2017,17,25,22,22,24,19,24,26,30,19,29,25,25,21,18,25,16,27,21,23,20,27,26,29,16,23,19
2018,26,17,23,23,23,26,29,23,29,29,26,29,25,25,24,25,23,29,20,18,18,15,29,17,27,25,20
2019,19,15,18,28,15,20,15,23,18,19,29,30,24,28,18,15,23,25,30,18,18,26,30,22,20,24,27
2020,26,30,15,16,17,26,30,19,23,26,21,23,20,16,15,19,24,19,28,16,15,23,16,29,16,23,29
2021,19,15,19,29,20,29,22,21,30,25,30,22,21,22,23,25,26,20,22,18,25,29,27,18,27,19,23